"Deal ID","Deal token","Deal name",Impressions,CPM,"Spends $","Media cost $","CTR %","VCR %","Media margin %"
19933,loopme-19933,"AV_Video_Brandsafe_25thApril_LM",1148260,3.05,3502.193,863.0801025,8.239597303746539,40.56668350373609,75.35600972019532
19219,loopme-19219,"Publicis_Display15thmarch",1703916,0.45,766.7622,340.905998,0.0,0.0,55.53954042074584
19899,loopme-19899,"G_IN_Display_Web_NEWS_Pages",154220,0.8999964985086242,138.79746,77.1092575,0.0,0.0,44.44476325431316
19852,loopme-19852,"G_IN_Display_Web_NEWS_Pages",99851,0.9,89.8659,39.94046,0.0,0.0,55.55548878940733
17865,loopme-17865,"Sense_LoopMe_Sports_Display",34128,0.42,14.33376,9.2145627,0.0,0.0,35.71426687763713
19220,loopme-19220,"Publicis_Display15thmarch_2",28322,0.45,12.7449,5.6644,0.0,0.0,55.55555555555556
20064,loopme-20064,AV_Video_18MF_UP_May1,573,3.07,1.75911,0.47130647,34.904013961605585,57.417102966841185,73.20767490378658
19932,loopme-19932,"AV_Display_Brandsafe_25thApril_LM",170,1.11,0.1887,0.0306144,0.0,0.0,83.77615262321144
17866,loopme-17866,"Sense_LoopMe_News_Display",290,0.42,0.1218,0.0783027,0.0,0.0,35.71206896551724
19139,loopme-19139,Display_March_Loopme,161,0.45,0.07245,0.02898,0.0,0.0,60.0
19703,loopme-19703,"Male_Video_35_AF_Brandsafe",1,3.05,0.00305,7.6999E-4,1100.0,300.0,74.7544262295082
19704,loopme-19704,"NV_Video_1824_AF_Brandsafe",1,3.05,0.00305,8.5E-4,200.0,0.0,72.1311475409836
19706,loopme-19706,"Youth_Video_2534_AF_Brandsafe",1,3.05,0.00305,8.5E-4,2300.0,500.0,72.1311475409836
19456,loopme-19456,"YU_Video_2534_MF_Brandsafe",0,,0.0,0.0,,,
19463,loopme-19463,ME_Video_34_M_Brandsafe,0,,0.0,0.0,,,
19705,loopme-19705,"Women_Video_35_AF_Brandsafe",0,,0.0,0.0,,,
19458,loopme-19458,WO_Video_34_F_Brandsafe,0,,0.0,0.0,,,
19567,loopme-19567,"Mahindra_XUV_namereveal_April",0,,0.0,0.0,,,
