Date,Demand Partner,Integration Type,Deal Name or Line Item Name,Deal ID,Interactions,Bidding Interactions,eCPM,Impressions,Total Revenue
"2024-05-07","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",2492250,1579612,0.96189557466178,110726,106.5068494
"2024-05-09","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",2211553,1656822,0.89379978822582,86885,77.6577946
"2024-05-10","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1222892,746278,1.7041404449515,43825,74.683955
"2024-05-09","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1275066,720335,1.6646428061518,41744,69.4888493
"2024-05-06","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1655199,716301,1.6374814796656,40793,66.797782
"2024-05-14","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",1074747,609872,1.0055401988703,64263,64.6190298
"2024-05-08","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",2063850,1352183,0.92563139906131,67967,62.9123893
"2024-05-12","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1132418,752659,1.679344564056,37436,62.8679431
"2024-05-14","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1299579,834704,1.647712046401,36982,60.9356869
"2024-05-13","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1128925,666322,1.6787873923324,35526,59.6406009
"2024-05-11","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",683427,466810,1.70284689768,33620,57.2497127
"2024-05-08","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1447570,735903,1.6330784917518,31825,51.972723
"2024-05-11","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",632488,415871,1.094568076943,38574,42.221869
"2024-05-13","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",1064491,601888,0.86995741810691,39808,34.6312649
"2024-04-17","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",518256,346760,0.27661417511454,109791,30.3697469
"2024-05-10","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",1053002,576388,0.96342812943962,25340,24.4132688
"2024-05-12","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",1098645,718886,0.8612684586231,27177,23.4066929
"2024-05-05","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",895954,578661,1.2826563608418,16916,21.697415
"2024-04-23","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1093743,530624,0.44857648513651,41242,18.5001914
"2024-04-30","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",453224,254868,0.6023951536161,29424,17.724875
"2024-04-24","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1464048,743949,0.39075806060894,42106,16.4532589
"2024-05-06","Bidswitch OpenRTB","eb","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",1346089,407191,1.2829253642019,12699,16.2918692
"2024-04-22","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",752408,322830,0.49548217775854,32336,16.0219117
"2024-04-20","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",805604,382240,0.45450008407747,34492,15.6766169
"2024-04-18","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1174671,937325,0.235334232623,65978,15.526882
"2024-04-25","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1938175,977918,0.33629538685322,43311,14.5652895
"2024-04-30","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",39021,33876,0.54951734498102,24497,13.4615264
"2024-04-21","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",713131,473700,0.39495589173399,33547,13.2495853
"2024-04-30","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",280506,232210,0.3445155004113,36470,12.5644803
"2024-05-07","Bidswitch OpenRTB","eb","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",1744383,831745,1.4005833091112,8945,12.5282177
"2024-04-19","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",877663,451643,0.34783832839192,35415,12.3186944
"2024-04-29","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1688626,983988,0.29344416835449,40486,11.8803806
"2024-04-17","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",333165,114566,0.46419274072316,25278,11.7338641
"2024-05-02","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1052542,540476,0.31362575978468,35668,11.1864036
"2024-04-26","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1282108,662896,0.32766949393939,33000,10.8130933
"2024-05-01","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",488320,373592,0.35283774582837,26848,9.4729878
"2024-04-27","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",908736,589016,0.34611936582911,25829,8.9399171
"2024-04-18","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",803017,676700,0.1041893966935,80871,8.4259007
"2024-04-20","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",792243,407407,0.13618823067169,55993,7.6255876
"2024-04-19","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",60650,43974,0.23647813501668,30574,7.2300825
"2024-04-28","Bidswitch OpenRTB","eb","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",1352822,832372,0.2632545121138,26994,7.1062923
"2024-04-21","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",540433,400515,0.1305032627752,54187,7.0715803
"2024-04-19","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",542800,371615,0.11861011299532,58321,6.9174604
"2024-04-21","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",50068,43503,0.21914553544646,30003,6.5750235
"2024-04-20","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",77796,38307,0.2344881527757,26732,6.2683373
"2024-04-25","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",63270,42219,0.2316466445132,26181,6.0647408
"2024-04-24","Bidswitch OpenRTB","venn","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",437158,254893,0.13194606651885,45100,5.9507676
